Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Fully_Equipped_Kitchen,Province,Municipality,Price_Group,Price_Group_Per_Region
149000.0,4500,HOUSE,HOUSE,GOOD,2.0,False,Luik,Tihange,100000-200000,Luik_100000-200000
219000.0,6880,APARTMENT,APARTMENT,AS_NEW,2.0,True,Luxemburg,Orgeo,200000-350000,Luxemburg_200000-350000
117500.0,8500,APARTMENT,APARTMENT,TO_RENOVATE,1.0,False,West-Vlaanderen,Kortrijk,100000-200000,West-Vlaanderen_100000-200000
239000.0,4190,HOUSE,HOUSE,GOOD,3.0,False,Luik,Xhoris,200000-350000,Luik_200000-350000
525000.0,9000,HOUSE,MIXED_USE_BUILDING,AS_NEW,4.0,False,Oost-Vlaanderen,Gent,350000-550000,Oost-Vlaanderen_350000-550000
475000.0,1315,HOUSE,VILLA,GOOD,3.0,False,Waals-Brabant,Roux-Miroir,350000-550000,Waals-Brabant_350000-550000
350000.0,9940,APARTMENT,APARTMENT,AS_NEW,2.0,False,Oost-Vlaanderen,Sleidinge,200000-350000,Oost-Vlaanderen_200000-350000
219000.0,5000,APARTMENT,APARTMENT,GOOD,2.0,False,Namen,Namur,200000-350000,Namen_200000-350000
655000.0,1150,APARTMENT,APARTMENT,GOOD,3.0,True,Brussel,Sint-pieters-woluwe,550000-750000,Brussel_550000-750000
325000.0,3800,HOUSE,HOUSE,TO_BE_DONE_UP,3.0,False,Limburg,Zepperen,200000-350000,Limburg_200000-350000
449000.0,8550,HOUSE,VILLA,GOOD,3.0,False,West-Vlaanderen,Zwevegem,350000-550000,West-Vlaanderen_350000-550000
400000.0,1180,APARTMENT,APARTMENT,AS_NEW,3.0,True,Brussel,Ukkel,350000-550000,Brussel_350000-550000
295000.0,8000,HOUSE,HOUSE,GOOD,2.0,False,West-Vlaanderen,Koolkerke,200000-350000,West-Vlaanderen_200000-350000
415000.0,9090,APARTMENT,APARTMENT,JUST_RENOVATED,4.0,False,Oost-Vlaanderen,Melle,350000-550000,Oost-Vlaanderen_350000-550000
222000.0,8400,APARTMENT,APARTMENT,GOOD,2.0,False,West-Vlaanderen,Zandvoorde,200000-350000,West-Vlaanderen_200000-350000
199000.0,5500,APARTMENT,APARTMENT,GOOD,2.0,False,Namen,Furfooz,100000-200000,Namen_100000-200000
329000.0,2640,APARTMENT,APARTMENT,AS_NEW,2.0,False,Antwerpen,Mortsel,200000-350000,Antwerpen_200000-350000
315000.0,9600,HOUSE,HOUSE,GOOD,3.0,False,Oost-Vlaanderen,Ronse,200000-350000,Oost-Vlaanderen_200000-350000
399000.0,8720,HOUSE,HOUSE,GOOD,3.0,False,West-Vlaanderen,Wakken,350000-550000,West-Vlaanderen_350000-550000
610000.0,1330,APARTMENT,APARTMENT,AS_NEW,3.0,False,Waals-Brabant,Rixensart,550000-750000,Waals-Brabant_550000-750000
335000.0,9900,APARTMENT,APARTMENT,GOOD,2.0,False,Oost-Vlaanderen,Eeklo,200000-350000,Oost-Vlaanderen_200000-350000
536500.0,9800,HOUSE,VILLA,AS_NEW,3.0,True,Oost-Vlaanderen,Zeveren,350000-550000,Oost-Vlaanderen_350000-550000
139000.0,8400,APARTMENT,APARTMENT,GOOD,1.0,False,West-Vlaanderen,Zandvoorde,100000-200000,West-Vlaanderen_100000-200000
175000.0,1080,APARTMENT,APARTMENT,GOOD,1.0,False,Brussel,Sint-jans-molenbeek,100000-200000,Brussel_100000-200000
126000.0,2060,APARTMENT,FLAT_STUDIO,GOOD,1.0,False,Antwerpen,Antwerpen,100000-200000,Antwerpen_100000-200000
