Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province
185000,2100,APARTMENT,APARTMENT,GOOD,1,88.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp
160000,6180,HOUSE,HOUSE,GOOD,3,198.0,0,1.0,0.0,100.0,3.0,0.0,0.0,Courcelles,Hainaut
245000,1082,APARTMENT,APARTMENT,AS_NEW,2,94.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Berchem-Sainte-Agathe,Brussels Capital
295000,1050,APARTMENT,APARTMENT,GOOD,2,79.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Ixelles,Brussels Capital
189000,9700,APARTMENT,APARTMENT,GOOD,2,86.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Oudenaarde,East Flanders
189000,2100,APARTMENT,APARTMENT,GOOD,2,98.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp
595000,1000,APARTMENT,PENTHOUSE,AS_NEW,3,170.0,0,1.0,0.0,0.0,3.0,0.0,1.0,Saint-Josse-ten-Noode,Brussels Capital
274000,9150,HOUSE,HOUSE,TO_BE_DONE_UP,3,105.0,0,0.0,0.0,227.0,2.0,0.0,0.0,Kruibeke,East Flanders
216846,8800,APARTMENT,APARTMENT,GOOD,2,80.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Roeselare,Other
99000,8420,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,48.0,0,0.0,0.0,0.0,2.0,0.0,1.0,De Haan,Other
169000,8460,HOUSE,HOUSE,TO_RENOVATE,3,140.0,0,0.0,0.0,325.0,3.0,0.0,0.0,Oudenburg,Other
449000,8000,HOUSE,HOUSE,GOOD,3,93.0,0,0.0,0.0,150.0,3.0,0.0,0.0,Brugge,Other
269000,9700,APARTMENT,APARTMENT,GOOD,1,66.0,0,1.0,0.0,0.0,4.0,0.0,1.0,Oudenaarde,East Flanders
449000,9320,HOUSE,HOUSE,GOOD,3,179.0,0,1.0,0.0,420.0,3.0,0.0,0.0,Aalst,East Flanders
249000,8450,APARTMENT,APARTMENT,GOOD,2,68.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Bredene,Other
365000,8301,APARTMENT,APARTMENT,GOOD,2,89.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Knokke-Heist,Other
343692,9900,APARTMENT,APARTMENT,GOOD,2,95.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Eeklo,East Flanders
239000,8620,APARTMENT,APARTMENT,GOOD,1,53.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Nieuwpoort,Other
220000,7130,HOUSE,HOUSE,GOOD,4,140.0,0,1.0,0.0,100.0,2.0,0.0,0.0,Binche,Hainaut
497806,2300,APARTMENT,APARTMENT,GOOD,2,121.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Turnhout,Antwerp
313500,9800,APARTMENT,APARTMENT,GOOD,2,92.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Deinze,East Flanders
205000,2600,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,92.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp
190000,4100,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,91.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Seraing,Liège
249000,9090,HOUSE,HOUSE,GOOD,1,85.0,0,1.0,0.0,308.0,3.0,0.0,0.0,Melle,East Flanders
289000,1020,APARTMENT,APARTMENT,GOOD,2,85.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Bruxelles,Brussels Capital
299000,9470,HOUSE,HOUSE,GOOD,4,263.0,0,0.0,0.0,0.0,3.0,0.0,0.0,Denderleeuw,East Flanders
275000,9750,HOUSE,HOUSE,TO_RENOVATE,3,175.0,0,1.0,0.0,473.0,3.0,0.0,0.0,Kruisem,East Flanders
175000,2060,APARTMENT,APARTMENT,AS_NEW,1,52.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Antwerpen,Antwerp
245000,1300,APARTMENT,APARTMENT,TO_RENOVATE,2,85.0,0,1.0,0.0,0.0,4.0,0.0,1.0,Wavre,Walloon Brabant
329000,2840,HOUSE,HOUSE,GOOD,2,115.0,0,1.0,0.0,125.0,2.0,0.0,0.0,Rumst,Antwerp
296000,2660,APARTMENT,APARTMENT,AS_NEW,2,100.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp
410000,9800,APARTMENT,APARTMENT,GOOD,2,98.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Deinze,East Flanders
