Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Disabled_Access,Lift,province,Municipality
485000.0,1570,HOUSE,HOUSE,JUST_RENOVATED,4.0,275.0,True,0.0,,1.0,50.0,1.0,335.0,335.0,1141.0,3.0,,,0.0,Vlaams-Brabant,Vollezele
295000.0,2000,APARTMENT,APARTMENT,GOOD,1.0,68.0,False,,,,,,,,,,,,1.0,Antwerpen,Antwerpen
360000.0,9880,APARTMENT,APARTMENT,TO_BE_DONE_UP,2.0,145.0,False,0.0,,1.0,,,,,,,,,1.0,Oost-Vlaanderen,Poeke
410000.0,1050,APARTMENT,APARTMENT,GOOD,2.0,90.0,True,0.0,,,,,,,,4.0,0.0,0.0,0.0,Brussel,Elsene
325000.0,8553,HOUSE,HOUSE,TO_RENOVATE,4.0,139.0,False,0.0,,1.0,,,,,1598.0,4.0,,0.0,,West-Vlaanderen,Otegem
,8570,APARTMENT_GROUP,APARTMENT_GROUP,,,,False,,,,,,,,,,,,,West-Vlaanderen,Vichte
495000.0,1160,APARTMENT,APARTMENT,AS_NEW,2.0,94.0,True,0.0,,1.0,24.0,,,,,2.0,0.0,1.0,1.0,Brussel,Oudergem
,1180,APARTMENT_GROUP,APARTMENT_GROUP,,,,False,,,,,,,,,,,,,Brussel,Ukkel
379900.0,9280,HOUSE,HOUSE,AS_NEW,4.0,172.0,False,,,,,,,,679.0,4.0,,0.0,0.0,Oost-Vlaanderen,Wieze
389000.0,1601,HOUSE,HOUSE,GOOD,3.0,160.0,True,,,1.0,,,,,200.0,2.0,0.0,0.0,0.0,Vlaams-Brabant,Ruisbroek
270000.0,5024,APARTMENT,APARTMENT,GOOD,3.0,105.0,False,,,,,,,,,,0.0,0.0,0.0,Namen,Marche-Les-Dames
329000.0,4400,HOUSE,HOUSE,,5.0,195.0,False,0.0,,1.0,18.0,,,,850.0,4.0,,,,Luik,Mons-Lez-Liège
309000.0,8200,APARTMENT,APARTMENT,AS_NEW,1.0,83.0,False,,,1.0,,,,,,,,0.0,1.0,West-Vlaanderen,Sint-Michiels
139000.0,4671,APARTMENT,TRIPLEX,GOOD,1.0,126.0,False,0.0,,1.0,18.0,1.0,65.0,65.0,,2.0,0.0,0.0,0.0,Luik,Saive
170000.0,6860,HOUSE,HOUSE,,2.0,176.0,False,0.0,,,,,,,1647.0,3.0,0.0,0.0,0.0,Luxemburg,Witry
280000.0,1150,APARTMENT,APARTMENT,TO_BE_DONE_UP,2.0,85.0,False,0.0,,1.0,3.0,,,,,2.0,0.0,0.0,1.0,Brussel,Sint-pieters-woluwe
219000.0,2845,APARTMENT,APARTMENT,GOOD,2.0,90.0,True,,,,,,,,,2.0,,,,Antwerpen,Niel
598000.0,8301,HOUSE,HOUSE,JUST_RENOVATED,3.0,146.0,False,,,1.0,,,,,170.0,,,,,West-Vlaanderen,Ramskapelle
180000.0,1070,APARTMENT,APARTMENT,AS_NEW,2.0,80.0,False,,,1.0,,,,,,,,,1.0,Brussel,Anderlecht
399000.0,9050,HOUSE,HOUSE,GOOD,4.0,136.0,True,0.0,,1.0,,,,,83.0,2.0,0.0,0.0,0.0,Oost-Vlaanderen,Ledeberg
375000.0,1200,APARTMENT,DUPLEX,TO_BE_DONE_UP,3.0,114.0,False,0.0,,1.0,9.0,,,,,2.0,0.0,0.0,0.0,Brussel,Sint-lambrechts-woluwe
739000.0,8300,APARTMENT,APARTMENT,AS_NEW,3.0,90.0,False,,,1.0,,,,,,,,0.0,0.0,West-Vlaanderen,Westkapelle
759000.0,2550,HOUSE,HOUSE,GOOD,4.0,240.0,True,0.0,,,,,,,457.0,3.0,,,,Antwerpen,Waarloos
550000.0,3001,HOUSE,HOUSE,TO_BE_DONE_UP,4.0,204.0,False,,,1.0,8.0,1.0,200.0,200.0,300.0,2.0,0.0,0.0,0.0,Vlaams-Brabant,Heverlee
