,Price
Living_Area,0.40059689044232827
Number_of_Rooms,0.3323547280627942
Terrace,0.15665230011725767
Surface_area_plot_of_land,0.07645515302667294
Subtype_of_Property,0.052873099571157996
Number_of_Facades,0.04172242468224958
Lift,0.020579088698383697
Type_of_Property,0.018683317508272804
Locality,-0.010113072001334555
State_of_the_Building,-0.20504210612736232
Fully_Equipped_Kitchen,
Garden,
Swimming_Pool,
