Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province,Region,Property_Size
435000,1070,HOUSE,HOUSE,AS_NEW,3,143.0,1,1.0,1.0,186.0,2.0,0.0,0.0,Anderlecht,Brussels Capital,Bruxelles-Capital,Large
285000,7110,HOUSE,MANSION,GOOD,4,260.0,0,1.0,0.0,0.0,4.0,0.0,0.0,La Louvière,Hainaut,Wallonia,Very Large
189000,4000,APARTMENT,APARTMENT,GOOD,2,99.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Liège,Liège,Wallonia,Medium
319000,2150,APARTMENT,APARTMENT,JUST_RENOVATED,3,102.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Borsbeek,Antwerp,Flanders,Large
159000,4000,HOUSE,HOUSE,TO_RENOVATE,3,133.0,0,1.0,1.0,190.0,3.0,0.0,0.0,Liège,Liège,Wallonia,Large
155000,4360,HOUSE,HOUSE,TO_BE_DONE_UP,4,147.0,0,1.0,0.0,150.0,3.0,0.0,0.0,Oreye,Liège,Wallonia,Large
149000,8610,HOUSE,HOUSE,TO_RENOVATE,3,110.0,0,1.0,0.0,268.0,3.0,0.0,0.0,Kortemark,West Flanders,Flanders,Large
425000,1190,APARTMENT,APARTMENT,JUST_RENOVATED,2,80.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Forest,Brussels Capital,Bruxelles-Capital,Medium
299000,9320,APARTMENT,APARTMENT,GOOD,2,95.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Aalst,East Flanders,Flanders,Medium
399000,9400,HOUSE,HOUSE,AS_NEW,4,270.0,0,0.0,0.0,550.0,3.0,0.0,0.0,Ninove,East Flanders,Flanders,Very Large
230000,2630,APARTMENT,APARTMENT,AS_NEW,2,80.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Aartselaar,Antwerp,Flanders,Medium
