Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province,Region,Property_Size
295000,1300,HOUSE,TOWN_HOUSE,TO_BE_DONE_UP,2,130.0,1,1.0,1.0,330.0,3.0,0.0,0.0,Wavre,Walloon Brabant,Wallonia,Large
299000,9991,HOUSE,HOUSE,TO_BE_DONE_UP,3,190.0,0,0.0,0.0,0.0,3.0,0.0,0.0,Maldegem,East Flanders,Flanders,Large
335000,1310,APARTMENT,DUPLEX,GOOD,2,115.0,0,0.0,0.0,0.0,2.0,0.0,0.0,La Hulpe,Walloon Brabant,Wallonia,Large
405000,9000,APARTMENT,DUPLEX,AS_NEW,2,101.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Gent,East Flanders,Flanders,Large
220000,8400,HOUSE,HOUSE,GOOD,4,255.0,0,0.0,1.0,145.0,2.0,0.0,0.0,Oostende,West Flanders,Flanders,Very Large
215000,1080,APARTMENT,APARTMENT,GOOD,1,63.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Molenbeek-Saint-Jean,Brussels Capital,Bruxelles-Capital,Medium
259000,2300,HOUSE,HOUSE,TO_RENOVATE,4,197.0,0,1.0,0.0,455.0,3.0,0.0,0.0,Turnhout,Antwerp,Flanders,Large
310000,8434,APARTMENT,APARTMENT,GOOD,2,69.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Middelkerke,West Flanders,Flanders,Medium
675000,4000,APARTMENT,PENTHOUSE,AS_NEW,3,153.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Liège,Liège,Wallonia,Large
269000,1082,APARTMENT,APARTMENT,GOOD,2,97.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Berchem-Sainte-Agathe,Brussels Capital,Bruxelles-Capital,Medium
386643,9420,HOUSE,HOUSE,GOOD,3,152.0,0,0.0,0.0,395.0,3.0,0.0,0.0,Erpe-Mere,East Flanders,Flanders,Large
299000,8790,HOUSE,HOUSE,GOOD,2,130.0,0,1.0,1.0,225.0,3.0,0.0,0.0,Waregem,West Flanders,Flanders,Large
695000,3000,HOUSE,HOUSE,AS_NEW,3,195.0,0,1.0,0.0,694.0,4.0,0.0,0.0,Leuven,Flemish Brabant,Flanders,Large
259000,2300,HOUSE,HOUSE,TO_BE_DONE_UP,3,140.0,0,1.0,0.0,197.0,3.0,0.0,0.0,Turnhout,Antwerp,Flanders,Large
436000,4802,APARTMENT,APARTMENT,AS_NEW,2,110.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Verviers,Liège,Wallonia,Large
223500,8800,APARTMENT,DUPLEX,JUST_RENOVATED,2,118.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Roeselare,West Flanders,Flanders,Large
380000,9290,HOUSE,HOUSE,GOOD,3,197.0,0,0.0,0.0,687.0,4.0,0.0,0.0,Berlare,East Flanders,Flanders,Large
390000,1140,APARTMENT,APARTMENT,AS_NEW,2,89.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Evere,Brussels Capital,Bruxelles-Capital,Medium
495000,6700,APARTMENT,APARTMENT,AS_NEW,3,128.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Arlon,Luxembourg,Wallonia,Large
685000,8530,APARTMENT,APARTMENT,GOOD,2,147.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Harelbeke,West Flanders,Flanders,Large
445000,1190,APARTMENT,APARTMENT,GOOD,1,107.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Forest,Brussels Capital,Bruxelles-Capital,Large
115000,8870,HOUSE,HOUSE,TO_RENOVATE,2,114.0,0,1.0,0.0,288.0,3.0,0.0,0.0,Izegem,West Flanders,Flanders,Large
199000,1930,APARTMENT,APARTMENT,GOOD,1,63.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Zaventem,Flemish Brabant,Flanders,Medium
279000,1060,APARTMENT,APARTMENT,GOOD,2,72.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Saint-Gilles,Brussels Capital,Bruxelles-Capital,Medium
235000,9000,APARTMENT,APARTMENT,GOOD,2,86.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Gent,East Flanders,Flanders,Medium
275000,8370,APARTMENT,DUPLEX,GOOD,3,132.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Blankenberge,West Flanders,Flanders,Large
475000,9473,HOUSE,HOUSE,AS_NEW,4,253.0,0,1.0,1.0,0.0,3.0,0.0,0.0,Denderleeuw,East Flanders,Flanders,Very Large
